name|kind|expected|java_compile|cpp_compile|java_link|cpp_link|java_spike|cpp_spike|java_signed|cpp_signed|conclusion|note
p1_return_0|runtime|0|exit=0|exit=0|exit=0|exit=0|PARSE_FAIL,exit=124,raw=,no tohost pattern|PARSE_FAIL,exit=124,raw=,no tohost pattern|||CPP_UNVERIFIED|
p1_return_42|runtime|42|exit=0|exit=0|exit=0|exit=0|OK,exit=255,raw=0x2a,direct tohost decode|OK,exit=255,raw=0x2a,direct tohost decode|42|42|CONFIRMED_EQUIVALENT|
p1_return_minus_1|runtime|-1|exit=0|exit=0|exit=0|exit=0|OK,exit=255,raw=-1,FAILED negative tohost direct decode|OK,exit=255,raw=-1,FAILED negative tohost direct decode|-1|-1|CONFIRMED_EQUIVALENT|
p1_int_min|runtime|-2147483648|exit=1|exit=1|SKIP|SKIP|SKIP|SKIP|||JAVA_UNVERIFIED|java compile failed
p1_precedence|runtime|7|exit=0|exit=0|exit=0|exit=0|OK,exit=3,raw=3,FAILED tohost decode|OK,exit=3,raw=3,FAILED tohost decode|7|7|CONFIRMED_EQUIVALENT|
p1_parentheses|runtime|9|exit=0|exit=0|exit=0|exit=0|OK,exit=4,raw=4,FAILED tohost decode|OK,exit=4,raw=4,FAILED tohost decode|9|9|CONFIRMED_EQUIVALENT|
p1_div_mod|runtime|5|exit=0|exit=0|exit=0|exit=0|OK,exit=2,raw=2,FAILED tohost decode|OK,exit=2,raw=2,FAILED tohost decode|5|5|CONFIRMED_EQUIVALENT|
p1_logic_compare|runtime|1|exit=0|exit=0|exit=0|exit=0|OK,exit=0,raw=0,empty output with spike exit 0|OK,exit=0,raw=0,empty output with spike exit 0|0|0|DIVERGENT|same result differs from expected
p1_logic_norm_and|runtime|1|exit=0|exit=0|exit=0|exit=0|OK,exit=0,raw=0,empty output with spike exit 0|OK,exit=0,raw=0,empty output with spike exit 0|0|0|DIVERGENT|same result differs from expected
p1_logic_norm_or|runtime|1|exit=0|exit=0|exit=0|exit=0|OK,exit=0,raw=0,empty output with spike exit 0|OK,exit=0,raw=0,empty output with spike exit 0|0|0|DIVERGENT|same result differs from expected
p1_short_and_div0|runtime|0|exit=0|exit=0|exit=0|exit=0|PARSE_FAIL,exit=124,raw=,no tohost pattern|PARSE_FAIL,exit=124,raw=,no tohost pattern|||CPP_UNVERIFIED|
p1_short_or_div0|runtime|1|exit=0|exit=0|exit=0|exit=0|OK,exit=0,raw=0,empty output with spike exit 0|OK,exit=0,raw=0,empty output with spike exit 0|0|0|DIVERGENT|same result differs from expected
p2_local_init|runtime|7|exit=0|exit=0|exit=0|exit=0|OK,exit=3,raw=3,FAILED tohost decode|OK,exit=3,raw=3,FAILED tohost decode|7|7|CONFIRMED_EQUIVALENT|
p2_assignment|runtime|42|exit=0|exit=0|exit=0|exit=0|OK,exit=255,raw=0x2a,direct tohost decode|OK,exit=255,raw=0x2a,direct tohost decode|42|42|CONFIRMED_EQUIVALENT|
p2_scope_shadow|runtime|2|exit=0|exit=0|exit=0|exit=0|OK,exit=255,raw=0x2,direct tohost decode|OK,exit=255,raw=0x2,direct tohost decode|2|2|CONFIRMED_EQUIVALENT|
p2_dangling_else|runtime|2|exit=0|exit=0|exit=0|exit=0|OK,exit=255,raw=0x2,direct tohost decode|OK,exit=255,raw=0x2,direct tohost decode|2|2|CONFIRMED_EQUIVALENT|
p2_while_continue_sum|runtime|25|exit=0|exit=0|exit=0|exit=0|OK,exit=12,raw=12,FAILED tohost decode|OK,exit=12,raw=12,FAILED tohost decode|25|25|CONFIRMED_EQUIVALENT|
p2_while_break|runtime|3|exit=0|exit=0|exit=0|exit=0|OK,exit=1,raw=1,FAILED tohost decode|OK,exit=1,raw=1,FAILED tohost decode|3|3|CONFIRMED_EQUIVALENT|
p2_add_call|runtime|42|exit=0|exit=0|exit=0|exit=1|OK,exit=255,raw=0x2a,direct tohost decode|SKIP|42||CPP_UNVERIFIED|
p2_fact|runtime|120|exit=0|exit=0|exit=0|exit=1|OK,exit=255,raw=0x78,direct tohost decode|SKIP|120||CPP_UNVERIFIED|
p2_fib|runtime|21|exit=0|exit=0|exit=0|exit=1|OK,exit=10,raw=10,FAILED tohost decode|SKIP|21||CPP_UNVERIFIED|
p2_nested_call|runtime|42|exit=0|exit=0|exit=0|exit=1|OK,exit=255,raw=0x2a,direct tohost decode|SKIP|42||CPP_UNVERIFIED|
p2_void_sink|runtime|42|exit=0|exit=0|exit=0|exit=1|OK,exit=255,raw=0x2a,direct tohost decode|SKIP|42||CPP_UNVERIFIED|
